"filename", "language", "Batch", "Markdown", "CMake Cache", "JSON", "CMake", "Makefile", "Ini", "XML", "Log", "Python", "C++", "C", "HTML", "comment", "blank", "total"
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\README.md", "Markdown", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 97
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build.bat", "Batch", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\cache-v2-68947da8c16a8a0d68de.json", "JSON", 0, 0, 0, 2743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2744
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\codemodel-v2-aa9cbd0260e6ea6df40c.json", "JSON", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\index-2020-05-18T05-58-57-0069.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Binders-Debug-92bcca275c77fdbae1fe.json", "JSON", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 160
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Common-Debug-c86779c560864142c903.json", "JSON", 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 230
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-CoreSystem-Debug-7051317c94ced5211aa2.json", "JSON", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 156
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-EditorKeybinds-Debug-3868b5fbe374b8112fe9.json", "JSON", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 148
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Keybinds-Debug-229e2fd76be531890a34.json", "JSON", 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 244
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-Options-Debug-89353ee015f244dcdb26.json", "JSON", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 148
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\.cmake\api\v1\reply\target-win-vind-Debug-06842646f462bdb66ef9.json", "JSON", 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 318
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeCache.txt", "CMake Cache", 0, 0, 574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 714
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 76
"c:\Users\K-PC\GoogleDrive\GitHub\win-vind\build\CMakeFiles\3.14.4\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 79
